Domestic Exports | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,291,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
FAS Value,Canada,18,COCOA AND COCOA PREPARATIONS,"809,294,500","844,365,090","881,915,064","642,833,672","854,422,149"
FAS Value,Canada,71,"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMIPRECIOUS STONES, PRECIOUS METALS; PRECIOUS METAL CLAD METALS, ARTICLES THEREOF; IMITATION JEWELRY; COIN","6,362,015,517","6,383,918,142","5,448,190,198","4,145,913,438","4,464,959,319"
FAS Value,Mexico,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS","336,986,012","412,954,360","434,839,349","324,038,569","323,966,287"
FAS Value,Canada,95,"TOYS, GAMES AND SPORTS EQUIPMENT; PARTS AND ACCESSORIES THEREOF","1,160,683,363","1,243,986,746","1,217,847,745","915,575,637","921,151,910"
FAS Value,Canada,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS","1,266,116,255","1,307,467,547","1,293,219,505","1,007,040,344","1,003,604,113"
FAS Value,Canada,98,"SPECIAL CLASSIFICATION PROVISIONS, NESOI","11,127,229,212","11,116,849,180","11,384,213,659","7,780,978,525","10,318,506,124"
FAS Value,China,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,"2,038,939,217","1,696,605,986","1,480,484,356","1,173,502,181","1,264,765,986"
FAS Value,Mexico,01,LIVE ANIMALS,"187,881,892","192,218,638","137,533,728","102,563,293","88,357,379"
FAS Value,China,17,SUGARS AND SUGAR CONFECTIONERY,"117,794,475","157,339,667","139,727,433","114,002,408","75,114,787"
FAS Value,Mexico,42,"ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES  OF GUT (OTHER THAN SILKWORM GUT)","75,345,378","85,149,955","89,757,040","63,094,364","77,334,714"
FAS Value,Mexico,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION RECORDERS AND REPRODUCERS, PARTS AND ACCESSORIES","16,632,564,935","19,002,621,699","20,393,186,561","15,206,571,776","17,019,882,749"
FAS Value,Mexico,32,"TANNING OR DYEING EXTRACTS; TANNINS AND DERIVATIVES; DYES, PIGMENTS AND OTHER COLORING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS","1,528,801,429","1,853,079,466","1,760,069,678","1,345,318,937","1,245,670,241"
FAS Value,Mexico,91,CLOCKS AND WATCHES AND PARTS THEREOF,"12,788,349","20,788,156","28,070,219","19,349,745","32,912,574"
FAS Value,Canada,82,"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL","997,401,558","1,093,490,135","1,129,676,577","855,106,349","803,475,168"
FAS Value,China,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS,"43,866,249","29,469,148","62,655,137","52,118,173","34,843,025"
FAS Value,Mexico,09,"COFFEE, TEA, MATE AND SPICES","37,414,710","48,463,080","52,484,564","38,557,973","43,710,142"
FAS Value,Mexico,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,"11,633,850","12,785,261","15,187,922","11,690,463","11,758,773"
FAS Value,China,42,"ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES  OF GUT (OTHER THAN SILKWORM GUT)","43,973,807","40,834,182","40,536,225","26,248,272","26,508,569"
FAS Value,Canada,65,HEADGEAR AND PARTS THEREOF,"78,146,513","91,609,456","102,434,733","74,038,879","74,096,466"
